Country/Region,Total Population,Muslim Population,Muslim percentage of total population,Percentage of world (%)
Nauru,10084,"< 1,000",< 0.1,< 0.1
Nepal,29218867,1292909,4.2,0.1
Netherlands,17400000,387000,5,0.1
Netherlands Antilles,304759,"< 1,000",0.2,< 0.1
New Caledonia,278500,7000,2.8,< 0.1
New Zealand,4903800,41000,0.9,< 0.1
Nicaragua,6284757,1000,< 0.1,< 0.1
Niger,21466863,21101926,98.3,1
Nigeria,200000000,"95,000,000–97,000,000",47-49,5.3
Niue,1611,"< 1,000",< 0.1,< 0.1
North Korea,25610672,3000,0.1,< 0.1
North Macedonia,2118945,705608,33.3,< 0.1
Northern Mariana Islands,56200,"< 1,000",0.7,< 0.1
Norway,5328212,175507,3.2,< 0.1
Oman,4633752,2427000,86,0.2
Pakistan,243000000,234500000,96.5,11.1
Palau,17900,"< 1,000",< 0.1,< 0.1
Palestine,4780978,4298000,97.5,0.3
Panama,4158783,25000,0.7,< 0.1
Papua New Guinea,8558800,2000,< 0.1,< 0.1
Paraguay,7052983,1000,< 0.1,< 0.1
Peru,31237385,"< 1,000",< 0.1,< 0.1
Philippines,109000000,"5,450,000–12,000,000",5–11,0.3 - 0.6
Poland,38430000,6796,0.02,< 0.1
Portugal,10291027,65000,0.4,< 0.1
Puerto Rico,3337177,1000,< 0.1,< 0.1
Qatar,2450285,1566786,77.5,0.1
Congo,5399895,107997,2,< 0.1
Réunion,865826,36364,4.2,< 0.1
Romania,19524000,"73,000–200,000",0.3–1.0,< 0.1
Russia,"144,350,000–146,750,000","14,000,000–16,000,000",10–12,1.7 [A]
Rwanda,12001136,576054,4.8,< 0.1
Saint Helena,4534,"< 1,000",< 0.1,< 0.1
Saint Kitts and Nevis,46204,"< 1,000",0.3,< 0.1
Saint Lucia,178844,"< 1,000",< 0.1,< 0.1
Saint Pierre and Miquelon,6286,"< 1,000",0.2,< 0.1
Saint Vincent and the Grenadines,109557,2000,1.7,< 0.1
Samoa,199052,"< 1,000",< 0.1,< 0.1
San Marino,33344,"< 1,000",< 0.1,< 0.1
São Tomé and Príncipe,199910,5931,3,< 0.1
Saudi Arabia,34220000,31535000,96.2,1.8
Senegal,17923036,17421191,97.2,0.8
Serbia,7001444,121460,2.1,< 0.1
Seychelles,94205,1036,1.1,< 0.1
Sierra Leone,7719729,6067706,78.6,0.3
Singapore,5866139,915118,15.6,< 0.1
Slovakia,5443120,10866,0.1–0.2,< 0.1
Slovenia,2066880,73568,3.6,< 0.1
Solomon Islands,667044,"< 1,000",< 0.1,< 0.1
Somalia,11000000,10978000,99.8,0.6
South Africa,57725600,1050000,1.9,< 0.1
South Korea,51635256,75000,0.1,< 0.1
South Sudan,12323419,2464683,20,< 0.1
Spain,46659302,1180000,2.6,0.1
Sri Lanka,21700000,2105000,9.7,0.1
Sudan,40825770,38585777,96,1.9
Suriname,600000,85800,14.3,< 0.1
Sweden,10182291,700000,7.1,< 0.1
Switzerland,8492956,440000,5.2,< 0.1
Syria,18000000,15000000,86,1
Taiwan,23576705,60000,0.3,< 0.1
Tajikistan,9540000,9253000,97.9,0.4
Tanzania,54199163,19426814,35.2,0.8
Thailand,70000000,3640000,5.4,0.2
East Timor,1261407,1000,0.1,< 0.1
Togo,7352000,1593011,20,0.1
Tokelau,1499,"< 1,000",< 0.1,< 0.1
Tonga,100651,"< 1,000",< 0.1,< 0.1
Trinidad and Tobago,1356633,78000,5.8,< 0.1
Tunisia,11446300,10190000,97.8,0.6
Turkey,86000000,"78,000,000 - 84,400,000",89-98,4.6
Turkmenistan,6031187,5610000,93.7,0.3
Turks and Caicos Islands,37910,"< 1,000",< 0.1,< 0.1
Tuvalu,10640,"< 1,000",0.1,< 0.1
Uganda,38823100,5435234,14,0.3
Ukraine,42263873,"390,000–410,000",0.9–1.2,< 0.1
United Arab Emirates,9541615,6251627,72,0.2
United Kingdom,66040229,2130000,3.3,0.2
United States,327827000,3450000,1.1,0.2
U.S. Virgin Islands,104914,"< 1,000",0.1,< 0.1
Uruguay,3505985,"< 1,000",< 0.1,< 0.1
Uzbekistan,34036800,29920000,88.7,1.7
Vanuatu,304500,"< 1,000",< 0.1,< 0.1
Vatican City,800,0,0,0
Venezuela,31304016,125216,0.4,< 0.1
Vietnam,96160163,96160,0.1,< 0.1
Wallis and Futuna,15714,"< 1,000",< 0.1,< 0.1
Western Sahara,603253,599633,99.4,< 0.1
Yemen,27036829,26784498,97.2,1.5
Zambia,16887720,168877,1,< 0.1
Zimbabwe,14000000,100000,0.7,< 0.1
